amount,oldbalanceOrg,newbalanceOrig,transaction_type,is_fraud
9726.68,175549.88,16800.34,CASH_IN,0
61504.57,40798.92,136305.21,TRANSFER,1
99005.48,165292.92,136021.94,CASH_OUT,1
14017.0,111537.74,133816.0,DEBIT,0
51837.78,10922.06,188466.9,PAYMENT,1
87738.53,194369.06,164617.51,DEBIT,1
74079.45,102523.05,8394.55,PAYMENT,0
69704.6,58175.37,94216.57,CASH_IN,0
70251.38,93881.37,79590.61,PAYMENT,0
35955.52,171571.56,62029.44,PAYMENT,0
29366.25,60980.62,90267.35,CASH_IN,0
80938.02,38535.28,76838.84,DEBIT,1
81013.24,25814.25,86466.78,CASH_IN,0
86708.56,59571.88,195852.37,CASH_OUT,1
91324.92,156009.62,17726.59,CASH_OUT,1
51139.13,94325.27,184446.17,PAYMENT,0
50156.61,45496.32,96047.34,CASH_IN,1
79831.53,33237.0,124748.45,CASH_IN,0
64999.89,66545.9,166036.59,CASH_IN,0
70199.67,187984.87,72092.61,DEBIT,1
79581.31,68605.34,86084.38,TRANSFER,1
89001.63,197624.82,81903.7,TRANSFER,1
33806.14,97046.09,74946.2,TRANSFER,1
37564.54,35832.78,185105.86,DEBIT,0
9407.25,178228.02,165785.98,CASH_IN,0
57832.23,92071.07,21800.0,TRANSFER,1
3603.87,141934.27,21624.67,CASH_IN,0
46565.15,196742.32,85573.9,PAYMENT,0
54269.04,10035.07,19731.48,TRANSFER,1
28661.26,19338.91,123818.62,PAYMENT,0
59087.42,144091.35,28738.32,DEBIT,0
3059.72,56365.0,104474.65,CASH_OUT,1
3744.45,36860.28,1443.99,DEBIT,0
82261.83,7872.38,63319.27,DEBIT,0
36025.46,4369.34,135438.14,DEBIT,0
12714.78,154897.12,96807.79,TRANSFER,1
52229.1,26886.69,195653.9,PAYMENT,1
77001.66,93544.12,174820.76,TRANSFER,1
21589.94,121179.36,71814.16,CASH_OUT,1
62292.82,85670.36,9097.31,DEBIT,1
8543.89,5421.33,169125.26,CASH_IN,0
5177.66,156700.3,182246.86,CASH_OUT,1
53140.15,2102.64,164125.48,PAYMENT,0
54068.11,152377.98,25589.99,CASH_OUT,1
63746.62,178660.9,199583.03,TRANSFER,1
72611.87,86567.98,51716.84,CASH_IN,1
97585.45,107108.49,144840.98,TRANSFER,1
51634.87,95396.68,181606.98,DEBIT,1
32302.42,77841.72,47137.42,DEBIT,0
79520.67,177484.91,181651.71,CASH_OUT,1
27090.52,178786.7,61896.32,DEBIT,0
43902.75,67163.27,195282.64,DEBIT,0
7854.85,123013.95,56252.0,PAYMENT,0
2544.82,185381.51,190687.16,PAYMENT,0
96265.21,192411.7,10708.93,TRANSFER,1
83599.65,101791.81,141854.4,TRANSFER,1
69600.46,90564.96,106422.23,PAYMENT,1
40901.2,55738.86,95575.42,CASH_OUT,1
17337.7,191774.37,44698.86,PAYMENT,0
15652.14,28562.86,141119.16,TRANSFER,1
25031.79,115965.92,38161.9,CASH_IN,0
54927.17,56510.05,110568.36,DEBIT,0
71462.45,55801.66,50649.07,CASH_IN,0
66023.14,80993.72,191124.28,CASH_IN,1
28000.59,199758.59,5726.24,DEBIT,0
95486.98,10993.26,39945.66,PAYMENT,1
73792.31,115708.36,48462.12,CASH_OUT,1
55439.86,16514.43,82813.57,CASH_IN,0
61175.96,30904.17,46546.05,CASH_OUT,1
41965.81,87912.59,98269.82,TRANSFER,1
24780.62,102092.03,174493.1,CASH_IN,0
35603.71,51758.48,142412.68,TRANSFER,1
75787.03,63291.43,115992.4,PAYMENT,1
1449.2,17393.4,17800.64,CASH_IN,0
11616.1,60643.96,138798.42,TRANSFER,1
4609.8,193311.69,33282.86,TRANSFER,1
4082.47,188941.48,157273.48,PAYMENT,0
85547.5,66975.66,50011.35,CASH_OUT,1
70368.75,114170.79,83409.75,CASH_OUT,1
47422.64,181919.08,70094.04,CASH_IN,0
9792.44,1236.76,171762.78,PAYMENT,0
49166.67,162136.71,25308.89,CASH_IN,0
47352.44,189673.91,113128.98,CASH_OUT,1
17328.45,18265.15,28412.32,PAYMENT,0
43390.83,32289.54,140959.17,DEBIT,0
39856.49,192149.26,181015.63,PAYMENT,0
61588.85,107508.03,86921.53,PAYMENT,1
63513.01,2839.33,97618.45,DEBIT,0
4539.95,51526.4,185484.57,TRANSFER,1
37467.52,89988.73,104198.28,TRANSFER,1
62589.73,138581.78,97519.69,TRANSFER,1
50318.59,146632.08,115665.82,CASH_OUT,1
85650.42,199084.3,137845.95,PAYMENT,1
65872.78,57502.24,21376.68,DEBIT,0
16301.81,107644.02,164222.11,CASH_OUT,1
7066.17,106664.71,87101.01,DEBIT,0
64245.5,81129.05,14469.7,CASH_OUT,1
2660.87,33832.38,157236.53,CASH_OUT,1
58581.7,195491.31,75389.99,CASH_OUT,1
94023.62,170663.44,20073.5,DEBIT,0
57551.66,99666.61,126755.81,CASH_IN,1
38823.11,120649.08,176026.27,CASH_OUT,1
64332.39,45452.21,177550.7,TRANSFER,1
45830.71,108757.41,191532.69,PAYMENT,0
54566.22,138994.03,173541.09,CASH_IN,1
94147.07,103033.41,428.18,CASH_IN,0
38616.4,198057.03,76048.23,DEBIT,0
96119.44,122268.33,163708.52,CASH_IN,0
90536.01,74194.74,73250.6,DEBIT,0
19587.16,154430.41,120309.7,DEBIT,0
6945.44,34092.5,121263.39,TRANSFER,1
10086.79,76903.16,73005.06,CASH_OUT,1
1832.0,69391.79,180894.79,CASH_IN,0
9453.35,86361.42,100645.67,CASH_OUT,1
68303.85,156355.97,92956.84,CASH_OUT,1
7128.15,96834.61,199502.75,CASH_OUT,1
31904.37,158802.89,98700.07,DEBIT,0
84489.08,115297.78,35679.65,CASH_OUT,1
2336.96,68413.89,102613.88,CASH_IN,0
81448.7,161995.75,162803.35,DEBIT,0
28192.66,47657.93,155372.07,CASH_IN,0
11825.3,44876.6,157716.35,DEBIT,0
69676.75,100900.58,141604.76,PAYMENT,0
62898.0,52169.85,50843.57,PAYMENT,1
87748.43,1817.41,172416.82,PAYMENT,0
73509.75,129659.51,178688.69,PAYMENT,0
80350.06,102218.76,38830.54,DEBIT,1
28210.64,89103.56,26091.13,CASH_OUT,1
17752.18,193393.7,195120.99,TRANSFER,1
75063.97,114239.84,173664.79,TRANSFER,1
80685.41,172686.32,178647.23,PAYMENT,0
99050.61,27890.05,177275.28,CASH_OUT,1
41267.64,113841.29,108337.36,CASH_IN,0
37208.09,173595.93,129280.35,CASH_OUT,1
77643.53,116621.15,109072.57,CASH_IN,1
34086.95,143602.84,10241.27,TRANSFER,1
93076.42,74408.71,149100.62,CASH_OUT,1
85842.69,18489.9,101066.41,CASH_OUT,1
42905.11,91580.06,129541.81,TRANSFER,1
75089.6,78895.88,100527.96,CASH_OUT,1
75456.74,173412.04,98362.26,CASH_IN,1
10321.36,48799.06,34357.82,CASH_OUT,1
90256.27,193346.85,55742.74,CASH_IN,0
50530.18,191627.62,31770.54,PAYMENT,0
82647.48,49526.33,39133.26,CASH_OUT,1
32011.76,69610.39,194595.48,CASH_IN,0
89553.37,179111.15,30622.69,TRANSFER,1
38926.28,193324.44,53854.08,PAYMENT,0
1093.66,88687.82,118117.93,CASH_OUT,1
90539.14,64199.41,122035.72,CASH_IN,1
9137.75,105218.8,30794.83,CASH_OUT,1
31938.17,137553.84,158743.49,CASH_IN,0
95006.7,54694.9,157040.57,CASH_OUT,1
95061.21,147294.63,47463.54,PAYMENT,0
57348.05,10331.47,57733.26,PAYMENT,0
63187.4,9858.9,187597.57,CASH_OUT,1
44850.07,77257.54,165134.29,CASH_OUT,1
29328.15,70694.64,139559.41,DEBIT,0
32873.17,63126.64,16446.64,CASH_OUT,1
67255.12,98203.95,83652.82,CASH_OUT,1
75239.93,64146.72,111860.37,PAYMENT,0
79159.99,38451.58,37482.26,CASH_OUT,1
78963.92,61893.91,89645.32,TRANSFER,1
9129.7,194980.85,120205.18,CASH_OUT,1
49447.09,82222.68,65475.34,DEBIT,0
5765.3,88942.56,156188.96,CASH_IN,0
54957.39,115309.0,168089.92,PAYMENT,0
44158.63,196668.15,64721.89,TRANSFER,1
88771.54,48320.26,167731.43,CASH_IN,0
35097.99,136256.42,20715.31,TRANSFER,1
11715.53,143196.94,167545.82,PAYMENT,0
14307.74,121464.88,30550.09,DEBIT,0
76153.45,17715.67,16585.43,PAYMENT,1
61825.62,135374.46,128355.08,TRANSFER,1
10121.26,12818.94,94387.47,TRANSFER,1
8419.84,119228.53,181578.12,PAYMENT,0
70099.9,147916.24,72637.84,CASH_OUT,1
7285.57,42193.98,57430.45,PAYMENT,0
82187.79,168324.4,100146.98,DEBIT,0
70627.16,6070.76,91189.24,PAYMENT,0
8144.06,168762.57,68885.61,CASH_IN,0
8492.92,92065.81,138748.26,CASH_OUT,1
98664.09,43517.59,151912.37,CASH_IN,0
37433.34,26755.63,170596.79,PAYMENT,0
37070.51,190661.43,194571.32,CASH_OUT,1
81281.83,14533.12,53331.24,CASH_IN,1
94725.39,39818.68,143218.7,CASH_IN,0
98600.25,69564.47,78851.65,CASH_OUT,1
75340.28,124046.97,135416.39,CASH_OUT,1
37632.2,108960.22,95196.34,TRANSFER,1
8359.24,25128.7,198754.62,CASH_OUT,1
77716.92,57945.6,145780.43,PAYMENT,0
55844.84,47750.35,190498.26,DEBIT,0
42427.96,42708.57,166993.91,TRANSFER,1
90636.37,82228.87,180580.2,CASH_OUT,1
11128.64,140806.29,162883.84,DEBIT,0
49267.58,43490.59,91831.83,TRANSFER,1
1145.25,73335.78,50357.69,PAYMENT,0
46871.38,78183.49,74064.04,DEBIT,0
5639.76,195291.31,4047.25,CASH_OUT,1
11890.6,190933.27,104798.63,CASH_OUT,1
11761.45,160027.52,101011.56,PAYMENT,0
64924.54,48331.78,105050.09,TRANSFER,1
74607.03,13607.46,194806.24,DEBIT,0
58341.04,63380.83,182290.8,PAYMENT,0
96217.63,53358.91,32342.56,TRANSFER,1
37493.31,101185.16,73776.5,CASH_IN,0
28578.35,155545.58,84791.24,CASH_IN,0
86861.23,171664.59,72106.58,TRANSFER,1
22367.35,168972.82,159699.19,CASH_OUT,1
96322.62,71935.11,104807.53,CASH_OUT,1
1225.33,137446.87,114419.96,CASH_IN,0
96988.18,62566.84,170602.71,CASH_OUT,1
4325.56,12181.11,161185.63,CASH_OUT,1
89115.4,140313.05,26442.3,TRANSFER,1
52774.83,1965.51,142782.92,TRANSFER,1
99296.55,81836.52,87087.23,CASH_OUT,1
7388.92,65875.85,58929.78,TRANSFER,1
55389.89,138675.51,10003.76,DEBIT,1
96930.56,153249.09,97449.91,CASH_IN,1
52314.55,60818.93,71087.34,DEBIT,0
62943.57,162325.4,50302.61,DEBIT,1
69577.91,58783.35,138934.35,CASH_OUT,1
45459.56,89265.27,153897.08,CASH_OUT,1
62759.53,145403.71,48957.9,DEBIT,0
58435.59,138584.05,9889.49,DEBIT,0
90116.79,197473.69,169750.54,PAYMENT,1
4554.18,45032.2,1991.95,PAYMENT,0
28103.51,132463.58,187422.5,CASH_IN,0
95041.64,121936.38,125523.97,DEBIT,0
89027.48,183019.69,64369.33,TRANSFER,1
45571.12,31272.43,49295.58,PAYMENT,0
62017.06,150359.63,1801.13,CASH_OUT,1
27745.34,113653.72,47094.28,DEBIT,0
18820.23,54933.17,27545.66,TRANSFER,1
46375.2,94886.98,122433.24,TRANSFER,1
35341.69,66755.32,33309.12,TRANSFER,1
58369.77,115862.68,105725.97,CASH_OUT,1
7782.69,177800.12,118023.28,PAYMENT,0
97439.74,113861.0,59608.34,TRANSFER,1
98621.21,126344.48,7012.99,PAYMENT,0
69819.19,103749.57,7450.78,CASH_IN,1
53614.28,10233.1,5269.47,CASH_OUT,1
30959.67,46571.71,147824.93,PAYMENT,0
81381.36,98400.35,63601.94,PAYMENT,0
68476.27,62047.06,159260.04,TRANSFER,1
16270.07,36352.72,86346.56,TRANSFER,1
91093.61,100826.57,90599.62,CASH_OUT,1
82255.5,64561.96,102576.52,PAYMENT,0
94980.49,51621.53,142606.29,DEBIT,0
72574.69,92797.08,54700.57,TRANSFER,1
61345.39,26656.85,24317.47,TRANSFER,1
41830.12,185549.15,111211.47,CASH_IN,0
93273.52,173540.42,65395.52,CASH_OUT,1
86607.73,141524.12,88498.26,PAYMENT,1
4531.41,21242.77,129389.34,PAYMENT,0
2646.43,155175.45,98825.15,PAYMENT,0
37652.57,161591.47,124055.76,TRANSFER,1
81057.23,153552.92,108840.0,CASH_OUT,1
98727.74,22793.18,147959.27,PAYMENT,0
15050.18,128781.59,141187.32,DEBIT,0
59417.13,166864.96,106837.98,CASH_IN,1
38095.28,115470.68,135780.6,CASH_IN,0
96991.74,129281.48,174711.92,PAYMENT,1
84213.47,91672.7,86454.26,TRANSFER,1
83834.49,105741.46,82552.61,CASH_IN,0
46874.63,6875.37,152849.12,CASH_IN,0
41487.8,127792.6,116510.77,CASH_IN,0
27347.97,16289.44,14201.36,CASH_IN,0
5646.99,87002.92,178422.4,PAYMENT,0
86473.59,58531.02,6156.62,CASH_OUT,1
81291.97,109085.59,149679.27,CASH_OUT,1
99971.77,26683.27,151758.83,TRANSFER,1
99663.72,138328.68,190622.22,DEBIT,0
55547.62,159002.31,10826.88,CASH_OUT,1
76901.05,32670.89,119371.37,DEBIT,1
94477.13,20862.62,85568.11,CASH_OUT,1
84966.24,29103.1,66126.59,CASH_OUT,1
24742.34,175425.51,18063.71,TRANSFER,1
45059.91,105637.85,112530.82,CASH_IN,0
12924.65,93452.2,95808.15,TRANSFER,1
95405.56,21342.36,20910.89,CASH_OUT,1
60621.4,129911.2,122497.9,CASH_IN,0
22871.99,173599.92,147590.62,CASH_IN,0
67173.35,165637.17,153455.66,CASH_IN,0
61816.64,125210.94,181074.64,DEBIT,1
35822.69,15055.74,81894.15,CASH_OUT,1
11364.62,22479.41,190614.55,PAYMENT,0
67160.6,9861.8,173085.88,TRANSFER,1
52035.57,51495.84,59300.31,DEBIT,0
77234.12,27132.29,31856.61,TRANSFER,1
52021.15,52009.61,87077.88,PAYMENT,0
85219.63,77011.61,80379.74,CASH_IN,1
55195.16,188596.56,115143.86,PAYMENT,0
56098.19,122075.21,116677.25,TRANSFER,1
87666.59,166994.76,149997.4,PAYMENT,1
40354.25,142070.3,101977.99,CASH_OUT,1
13410.18,22500.63,20964.53,PAYMENT,0
2887.98,147184.08,171658.27,CASH_OUT,1
75516.17,55019.78,61952.92,PAYMENT,1
62034.75,127821.57,194259.49,CASH_OUT,1
70410.94,68192.39,23572.02,CASH_OUT,1
21304.29,199534.45,191650.23,PAYMENT,0
13645.78,52710.3,18202.36,DEBIT,0
1464.32,55826.09,46207.23,CASH_IN,0
35065.25,186134.45,9315.99,CASH_IN,0
58995.87,4928.88,141022.63,CASH_IN,0
39230.48,139337.8,170059.75,CASH_OUT,1
43753.12,145065.28,86814.22,CASH_IN,0
90416.83,167275.72,185704.42,CASH_OUT,1
34832.06,194887.86,118059.81,DEBIT,0
51403.81,195120.38,126001.43,PAYMENT,1
78367.46,13055.35,169083.84,PAYMENT,0
39660.31,164367.86,59360.04,CASH_OUT,1
62212.45,129261.99,70853.14,CASH_OUT,1
86237.75,129468.43,181190.38,DEBIT,0
94952.57,25669.99,180192.7,CASH_IN,0
14715.88,130037.43,195296.56,DEBIT,0
92659.5,196496.52,180367.66,PAYMENT,0
49216.71,182363.71,25474.41,PAYMENT,0
